"","","/表章事項","人口【人】","人口【人】","人口【人】"
"時間軸（年次）","全国，都道府県，市区町村（2000年市区町村含む）","/男女","総数","男","女"
"2020年","（旧：上那賀町）","","1,187","534","653"
"2020年","（旧：木沢村）","","404","201","203"
"2020年","（旧：木頭村）","","940","460","480"
"2020年","牟岐町","","3,743","1,735","2,008"
"2020年","美波町","","6,222","2,923","3,299"
"2020年","（旧：由岐町）","","2,079","947","1,132"
"2020年","（旧：日和佐町）","","4,143","1,976","2,167"
"2020年","海陽町","","8,358","3,965","4,393"
"2020年","（旧：海南町）","","4,207","2,019","2,188"
"2020年","（旧：海部町）","","1,721","813","908"
"2020年","（旧：宍喰町）","","2,430","1,133","1,297"
"2020年","松茂町","","14,583","7,193","7,390"
"2020年","北島町","","22,745","10,976","11,769"
"2020年","藍住町","","35,246","16,868","18,378"
"2020年","板野町","","13,042","6,262","6,780"
"2020年","上板町","","11,384","5,431","5,953"
"2020年","つるぎ町","","7,715","3,608","4,107"
"2020年","（旧：半田町）","","3,309","1,541","1,768"
"2020年","（旧：貞光町）","","3,894","1,808","2,086"
"2020年","（旧：一宇村）","","512","259","253"
"2020年","東みよし町","","13,622","6,515","7,107"
"2020年","（旧：三好町）","","5,286","2,548","2,738"
"2020年","（旧：三加茂町）","","8,336","3,967","4,369"
"2020年","香川県","","950,244","459,197","491,047"
"2020年","高松市","","417,496","202,029","215,467"
"2020年","（旧：高松市）","","341,271","165,295","175,976"
"2020年","（旧：牟礼町）","","16,544","7,884","8,660"
"2020年","（旧：庵治町）","","4,592","2,192","2,400"
"2020年","（旧：塩江町）","","2,202","1,066","1,136"
"2020年","（旧：香川町）","","21,965","10,576","11,389"
"2020年","（旧：香南町）","","7,134","3,507","3,627"
"2020年","（旧：国分寺町）","","23,788","11,509","12,279"
"2020年","丸亀市","","109,513","53,018","56,495"
"2020年","（旧：丸亀市）","","82,329","39,888","42,441"
"2020年","（旧：綾歌町）","","10,553","5,066","5,487"
"2020年","（旧：飯山町）","","16,631","8,064","8,567"
"2020年","坂出市","","50,624","24,145","26,479"
"2020年","善通寺市","","31,631","15,725","15,906"
"2020年","観音寺市","","57,438","27,578","29,860"
"2020年","（旧：観音寺市）","","39,438","18,901","20,537"
"2020年","（旧：大野原町）","","10,825","5,218","5,607"
"2020年","（旧：豊浜町）","","7,175","3,459","3,716"
"2020年","さぬき市","","47,003","22,484","24,519"
"2020年","（旧：津田町）","","5,721","2,622","3,099"
"2020年","（旧：大川町）","","5,148","2,420","2,728"
"2020年","（旧：志度町）","","18,983","9,271","9,712"
"2020年","（旧：寒川町）","","5,197","2,474","2,723"
"2020年","（旧：長尾町）","","11,954","5,697","6,257"
"2020年","東かがわ市","","28,279","13,358","14,921"
"2020年","（旧：引田町）","","6,012","2,856","3,156"
"2020年","（旧：白鳥町）","","9,638","4,569","5,069"
"2020年","（旧：大内町）","","12,629","5,933","6,696"
"2020年","三豊市","","61,857","29,770","32,087"
"2020年","（旧：高瀬町）","","14,628","7,088","7,540"
"2020年","（旧：山本町）","","6,295","3,015","3,280"
"2020年","（旧：三野町）","","8,803","4,239","4,564"
"2020年","（旧：豊中町）","","10,752","5,206","5,546"
"2020年","（旧：詫間町）","","12,471","5,953","6,518"
"2020年","（旧：仁尾町）","","5,392","2,557","2,835"
"2020年","（旧：財田町）","","3,516","1,712","1,804"
"2020年","土庄町","","12,846","6,044","6,802"
"2020年","小豆島町","","13,870","6,621","7,249"
"2020年","（旧：内海町）","","9,393","4,510","4,883"
"2020年","（旧：池田町）","","4,477","2,111","2,366"
"2020年","三木町","","26,878","12,943","13,935"
"2020年","直島町","","3,103","1,646","1,457"
"2020年","宇多津町","","18,699","9,180","9,519"
"2020年","綾川町","","22,693","10,999","11,694"
"2020年","（旧：綾上町）","","4,894","2,403","2,491"
"2020年","（旧：綾南町）","","17,799","8,596","9,203"
"2020年","琴平町","","8,468","3,938","4,530"
"2020年","多度津町","","22,445","11,373","11,072"
"2020年","まんのう町","","17,401","8,346","9,055"
"2020年","（旧：琴南町）","","1,905","946","959"
"2020年","（旧：満濃町）","","11,818","5,677","6,141"
"2020年","（旧：仲南町）","","3,678","1,723","1,955"
"2020年","愛媛県","","1,334,841","633,062","701,779"
"2020年","松山市","","511,192","240,292","270,900"
"2020年","（旧：松山市）","","482,712","226,985","255,727"
"2020年","（旧：北条市）","","25,272","11,813","13,459"
"2020年","（旧：中島町）","","3,208","1,494","1,714"
"2020年","今治市","","151,672","71,799","79,873"
"2020年","（旧：今治市）","","105,326","49,254","56,072"
"2020年","（旧：朝倉村）","","3,970","1,835","2,135"
"2020年","（旧：玉川町）","","4,564","2,147","2,417"
"2020年","（旧：波方町）","","8,146","3,976","4,170"
"2020年","（旧：大西町）","","8,084","4,217","3,867"
"2020年","（旧：菊間町）","","5,173","2,431","2,742"
"2020年","（旧：吉海町）","","3,172","1,568","1,604"
"2020年","（旧：宮窪町）","","2,209","1,068","1,141"
"2020年","（旧：伯方町）","","5,715","2,846","2,869"
"2020年","（旧：上浦町）","","2,388","1,123","1,265"
"2020年","（旧：大三島町）","","2,575","1,176","1,399"
"2020年","（旧：関前村）","","350","158","192"
"2020年","宇和島市","","70,809","33,213","37,596"
"2020年","（旧：宇和島市）","","47,443","22,249","25,194"
"2020年","（旧：吉田町）","","8,772","4,131","4,641"
"2020年","（旧：三間町）","","5,347","2,519","2,828"
"2020年","（旧：津島町）","","9,247","4,314","4,933"
"2020年","八幡浜市","","31,987","14,971","17,016"
"2020年","（旧：八幡浜市）","","22,927","10,648","12,279"
"2020年","（旧：保内町）","","9,060","4,323","4,737"
"2020年","新居浜市","","115,938","56,004","59,934"
"2020年","（旧：新居浜市）","","115,796","55,934","59,862"
"2020年","（旧：別子山村）","","142","70","72"
"2020年","西条市","","104,791","50,615","54,176"
"2020年","（旧：西条市）","","57,305","27,944","29,361"
"2020年","（旧：東予市）","","28,572","13,571","15,001"
"2020年","（旧：小松町）","","7,915","3,760","4,155"
"2020年","（旧：丹原町）","","10,999","5,340","5,659"
"2020年","大洲市","","40,575","19,423","21,152"
"2020年","（旧：大洲市）","","32,408","15,570","16,838"
"2020年","（旧：長浜町）","","5,808","2,703","3,105"
"2020年","（旧：肱川町）","","1,807","871","936"
"2020年","（旧：河辺村）","","552","279","273"
"2020年","伊予市","","35,133","16,385","18,748"
"2020年","（旧：伊予市）","","29,209","13,624","15,585"
"2020年","（旧：中山町）","","2,543","1,216","1,327"
"2020年","（旧：双海町）","","3,381","1,545","1,836"
"2020年","四国中央市","","82,754","40,468","42,286"
"2020年","（旧：川之江市）","","32,879","16,015","16,864"
"2020年","（旧：伊予三島市）","","34,108","16,770","17,338"
"2020年","（旧：新宮村）","","845","413","432"
"2020年","（旧：土居町）","","14,922","7,270","7,652"
"2020年","西予市","","35,388","16,635","18,753"
"2020年","（旧：三瓶町）","","6,184","2,830","3,354"
"2020年","（旧：明浜町）","","2,839","1,342","1,497"
"2020年","（旧：宇和町）","","16,099","7,591","8,508"
"2020年","（旧：野村町）","","7,269","3,477","3,792"
"2020年","（旧：城川町）","","2,997","1,395","1,602"
"2020年","東温市","","33,903","16,180","17,723"
"2020年","（旧：重信町）","","23,811","11,320","12,491"
"2020年","（旧：川内町）","","10,092","4,860","5,232"
"2020年","上島町","","6,509","3,421","3,088"
"2020年","（旧：魚島村）","","149","80","69"
"2020年","（旧：弓削町）","","3,027","1,585","1,442"
"2020年","（旧：生名村）","","1,389","642","747"
"2020年","（旧：岩城村）","","1,944","1,114","830"
"2020年","久万高原町","","7,404","3,513","3,891"
"2020年","（旧：久万町）","","5,166","2,446","2,720"
"2020年","（旧：面河村）","","445","204","241"
"2020年","（旧：美川村）","","1,203","574","629"
"2020年","（旧：柳谷村）","","590","289","301"
"2020年","松前町","","29,630","13,911","15,719"
"2020年","砥部町","","20,480","9,519","10,961"
"2020年","（旧：砥部町）","","19,897","9,239","10,658"
"2020年","（旧：広田村）","","583","280","303"
"2020年","内子町","","15,322","7,303","8,019"
"2020年","（旧：小田町）","","1,928","926","1,002"
"2020年","（旧：内子町）","","8,533","4,024","4,509"
"2020年","（旧：五十崎町）","","4,861","2,353","2,508"
"2020年","伊方町","","8,397","4,036","4,361"
"2020年","（旧：伊方町）","","4,437","2,189","2,248"
"2020年","（旧：瀬戸町）","","1,583","731","852"
"2020年","（旧：三崎町）","","2,377","1,116","1,261"
"2020年","松野町","","3,674","1,725","1,949"
"2020年","鬼北町","","9,682","4,463","5,219"
"2020年","（旧：広見町）","","8,572","3,957","4,615"
"2020年","（旧：日吉村）","","1,110","506","604"
"2020年","愛南町","","19,601","9,186","10,415"
"2020年","（旧：内海村）","","1,484","694","790"
"2020年","（旧：御荘町）","","6,705","3,197","3,508"
"2020年","（旧：城辺町）","","6,427","3,016","3,411"
"2020年","（旧：一本松町）","","3,322","1,498","1,824"
"2020年","（旧：西海町）","","1,663","781","882"
"2020年","高知県","","691,527","326,531","364,996"
"2020年","高知市","","326,545","152,455","174,090"
"2020年","（旧：高知市）","","310,883","145,067","165,816"
"2020年","（旧：鏡村）","","1,099","518","581"
"2020年","（旧：土佐山村）","","855","415","440"
"2020年","（旧：春野町）","","13,708","6,455","7,253"
"2020年","室戸市","","11,742","5,648","6,094"
"2020年","安芸市","","16,243","7,754","8,489"
"2020年","南国市","","46,664","22,130","24,534"
"2020年","土佐市","","25,732","12,384","13,348"
"2020年","須崎市","","20,590","10,068","10,522"
"2020年","宿毛市","","19,033","8,914","10,119"
"2020年","土佐清水市","","12,388","5,842","6,546"
"2020年","四万十市","","32,694","15,455","17,239"
"2020年","（旧：中村市）","","30,233","14,306","15,927"
"2020年","（旧：西土佐村）","","2,461","1,149","1,312"
"2020年","香南市","","32,207","15,545","16,662"
"2020年","（旧：赤岡町）","","2,504","1,163","1,341"
"2020年","（旧：香我美町）","","5,833","2,977","2,856"
"2020年","（旧：野市町）","","19,083","9,114","9,969"
"2020年","（旧：夜須町）","","3,244","1,545","1,699"
"2020年","（旧：吉川村）","","1,543","746","797"
"2020年","香美市","","26,513","12,848","13,665"
"2020年","（旧：土佐山田町）","","20,844","10,204","10,640"
"2020年","（旧：香北町）","","4,182","1,949","2,233"
"2020年","（旧：物部村）","","1,487","695","792"
"2020年","東洋町","","2,194","1,085","1,109"
"2020年","奈半利町","","3,034","1,399","1,635"
"2020年","田野町","","2,498","1,174","1,324"
"2020年","安田町","","2,370","1,144","1,226"
"2020年","北川村","","1,146","552","594"
"2020年","馬路村","","745","358","387"
"2020年","芸西村","","3,694","1,724","1,970"
"2020年","本山町","","3,261","1,516","1,745"
"2020年","大豊町","","3,252","1,546","1,706"
"2020年","土佐町","","3,753","1,780","1,973"
"2020年","大川村","","366","189","177"
"2020年","いの町","","21,374","10,179","11,195"
"2020年","（旧：本川村）","","395","218","177"
"2020年","（旧：伊野町）","","19,103","9,043","10,060"
"2020年","（旧：吾北村）","","1,876","918","958"
"2020年","仁淀川町","","4,827","2,306","2,521"
"2020年","（旧：池川町）","","1,431","663","768"
"2020年","（旧：吾川村）","","1,810","861","949"
"2020年","（旧：仁淀村）","","1,586","782","804"
"2020年","中土佐町","","6,002","2,782","3,220"
"2020年","（旧：中土佐町）","","4,992","2,310","2,682"
"2020年","（旧：大野見村）","","1,010","472","538"
"2020年","佐川町","","12,323","5,751","6,572"
"2020年","越知町","","5,187","2,390","2,797"
"2020年","檮原町","","3,307","1,611","1,696"
"2020年","日高村","","4,812","2,282","2,530"
"2020年","津野町","","5,291","2,516","2,775"
"2020年","（旧：東津野村）","","1,884","890","994"
"2020年","（旧：葉山村）","","3,407","1,626","1,781"
"2020年","四万十町","","15,607","7,442","8,165"
"2020年","（旧：窪川町）","","11,080","5,245","5,835"
"2020年","（旧：大正町）","","2,183","1,038","1,145"
"2020年","（旧：十和村）","","2,344","1,159","1,185"
"2020年","大月町","","4,434","2,128","2,306"
"2020年","三原村","","1,437","690","747"
"2020年","黒潮町","","10,262","4,944","5,318"
"2020年","（旧：佐賀町）","","2,929","1,429","1,500"
"2020年","（旧：大方町）","","7,333","3,515","3,818"
"2020年","福岡県","","5,135,214","2,430,951","2,704,263"
"2020年","北九州市","","939,029","443,269","495,760"
"2020年","北九州市門司区","","93,842","43,051","50,791"
"2020年","北九州市若松区","","80,533","38,307","42,226"
"2020年","北九州市戸畑区","","57,494","28,038","29,456"
"2020年","北九州市小倉北区","","183,407","86,089","97,318"
"2020年","北九州市小倉南区","","209,028","99,584","109,444"
"2020年","北九州市八幡東区","","64,792","30,400","34,392"
"2020年","北九州市八幡西区","","249,933","117,800","132,133"
"2020年","福岡市","","1,612,392","761,148","851,244"
"2020年","福岡市東区","","322,503","156,725","165,778"
"2020年","福岡市博多区","","252,034","121,654","130,380"
"2020年","福岡市中央区","","205,501","92,450","113,051"
"2020年","福岡市南区","","265,583","122,925","142,658"
"2020年","福岡市西区","","212,579","100,887","111,692"
"2020年","福岡市城南区","","132,864","62,325","70,539"
"2020年","福岡市早良区","","221,328","104,182","117,146"
"2020年","大牟田市","","111,281","51,262","60,019"
"2020年","久留米市","","303,316","144,522","158,794"
"2020年","（旧：久留米市）","","239,576","114,579","124,997"
"2020年","（旧：田主丸町）","","18,363","8,628","9,735"
"2020年","（旧：北野町）","","17,015","7,885","9,130"
"2020年","（旧：城島町）","","11,135","5,229","5,906"
"2020年","（旧：三潴町）","","17,227","8,201","9,026"
"2020年","直方市","","56,212","26,403","29,809"
"2020年","飯塚市","","126,364","60,174","66,190"
"2020年","（旧：飯塚市）","","76,307","36,610","39,697"
"2020年","（旧：筑穂町）","","9,135","4,288","4,847"
"2020年","（旧：穂波町）","","24,970","11,686","13,284"
"2020年","（旧：庄内町）","","10,596","5,129","5,467"
"2020年","（旧：頴田町）","","5,356","2,461","2,895"
"2020年","田川市","","46,203","21,056","25,147"
"2020年","柳川市","","64,475","30,437","34,038"
"2020年","（旧：柳川市）","","33,410","15,706","17,704"
"2020年","（旧：大和町）","","13,826","6,558","7,268"
"2020年","（旧：三橋町）","","17,239","8,173","9,066"
"2020年","八女市","","60,608","28,451","32,157"
"2020年","（旧：八女市）","","37,289","17,527","19,762"
"2020年","（旧：黒木町）","","9,388","4,354","5,034"
"2020年","（旧：上陽町）","","2,495","1,180","1,315"
"2020年","（旧：立花町）","","8,205","3,900","4,305"
"2020年","（旧：矢部村）","","912","426","486"
"2020年","（旧：星野村）","","2,319","1,064","1,255"
"2020年","筑後市","","48,827","23,400","25,427"
"2020年","大川市","","32,988","15,427","17,561"
"2020年","行橋市","","71,426","34,120","37,306"
"2020年","豊前市","","24,391","11,378","13,013"
"2020年","中間市","","40,362","18,961","21,401"
"2020年","小郡市","","59,360","27,825","31,535"
"2020年","筑紫野市","","103,311","49,289","54,022"
"2020年","春日市","","111,023","53,099","57,924"
"2020年","大野城市","","102,085","48,887","53,198"
"2020年","宗像市","","97,095","46,143","50,952"
"2020年","（旧：宗像市）","","88,344","41,979","46,365"
"2020年","（旧：玄海町）","","8,211","3,903","4,308"
"2020年","（旧：大島村）","","540","261","279"
"2020年","太宰府市","","73,164","34,743","38,421"
"2020年","古賀市","","58,786","27,924","30,862"
"2020年","福津市","","67,033","31,286","35,747"
"2020年","（旧：福間町）","","49,922","23,260","26,662"
"2020年","（旧：津屋崎町）","","17,111","8,026","9,085"
"2020年","うきは市","","27,981","13,145","14,836"
"2020年","（旧：吉井町）","","15,197","7,102","8,095"
"2020年","（旧：浮羽町）","","12,784","6,043","6,741"
"2020年","宮若市","","26,298","12,379","13,919"
"2020年","（旧：宮田町）","","17,900","8,347","9,553"
"2020年","（旧：若宮町）","","8,398","4,032","4,366"
"2020年","嘉麻市","","35,473","16,400","19,073"
"2020年","（旧：山田市）","","7,660","3,436","4,224"
"2020年","（旧：稲築町）","","15,441","7,070","8,371"
"2020年","（旧：碓井町）","","4,957","2,372","2,585"
"2020年","（旧：嘉穂町）","","7,415","3,522","3,893"
"2020年","朝倉市","","50,273","23,546","26,727"
"2020年","（旧：甘木市）","","37,521","17,593","19,928"
"2020年","（旧：杷木町）","","5,595","2,558","3,037"
"2020年","（旧：朝倉町）","","7,157","3,395","3,762"
"2020年","みやま市","","35,861","16,675","19,186"
"2020年","（旧：瀬高町）","","19,722","9,177","10,545"
"2020年","（旧：山川町）","","4,100","1,932","2,168"
"2020年","（旧：高田町）","","12,039","5,566","6,473"
"2020年","糸島市","","98,877","46,984","51,893"
"2020年","（旧：前原市）","","70,673","33,776","36,897"
"2020年","（旧：二丈町）","","12,100","5,541","6,559"
"2020年","（旧：志摩町）","","16,104","7,667","8,437"
"2020年","那珂川市","","50,112","24,194","25,918"
"2020年","（旧：那珂川町）","","50,112","24,194","25,918"
"2020年","宇美町","","37,671","18,964","18,707"
"2020年","篠栗町","","31,209","15,014","16,195"
"2020年","志免町","","46,377","22,291","24,086"
"2020年","須恵町","","28,628","13,760","14,868"
"2020年","新宮町","","32,927","15,894","17,033"
"2020年","久山町","","9,068","4,281","4,787"
"2020年","粕屋町","","48,190","23,840","24,350"
"2020年","芦屋町","","13,545","6,629","6,916"
"2020年","水巻町","","28,114","13,074","15,040"
"2020年","岡垣町","","31,007","14,481","16,526"
"2020年","遠賀町","","18,723","8,795","9,928"
"2020年","小竹町","","7,151","3,406","3,745"
"2020年","鞍手町","","15,080","7,074","8,006"
"2020年","桂川町","","12,878","6,018","6,860"
"2020年","筑前町","","29,591","14,061","15,530"
"2020年","（旧：三輪町）","","13,720","6,389","7,331"
"2020年","（旧：夜須町）","","15,871","7,672","8,199"
"2020年","東峰村","","1,899","868","1,031"
"2020年","（旧：小石原村）","","765","344","421"
"2020年","（旧：宝珠山村）","","1,134","524","610"
"2020年","大刀洗町","","15,521","7,438","8,083"
"2020年","大木町","","13,820","6,545","7,275"
"2020年","広川町","","19,969","9,589","10,380"
"2020年","香春町","","10,191","4,737","5,454"
"2020年","添田町","","8,801","4,128","4,673"
"2020年","糸田町","","8,407","3,843","4,564"
"2020年","川崎町","","15,176","6,918","8,258"
"2020年","大任町","","5,008","2,262","2,746"
"2020年","赤村","","2,774","1,295","1,479"
"2020年","福智町","","21,398","9,984","11,414"
"2020年","（旧：金田町）","","6,795","3,142","3,653"
"2020年","（旧：赤池町）","","7,869","3,702","4,167"
"2020年","（旧：方城町）","","6,734","3,140","3,594"
"2020年","苅田町","","37,684","19,639","18,045"
"2020年","みやこ町","","18,825","8,803","10,022"
"2020年","（旧：犀川町）","","5,301","2,534","2,767"
"2020年","（旧：勝山町）","","6,268","2,863","3,405"
"2020年","（旧：豊津町）","","7,256","3,406","3,850"
"2020年","吉富町","","6,536","3,068","3,468"
"2020年","上毛町","","7,251","3,453","3,798"
"2020年","（旧：新吉富村）","","3,962","1,881","2,081"
"2020年","（旧：大平村）","","3,289","1,572","1,717"
"2020年","築上町","","17,189","8,272","8,917"
"2020年","（旧：椎田町）","","10,050","4,921","5,129"
"2020年","（旧：築城町）","","7,139","3,351","3,788"
"2020年","佐賀県","","811,442","384,451","426,991"
"2020年","佐賀市","","233,301","110,191","123,110"
"2020年","（旧：佐賀市）","","164,759","77,796","86,963"
"2020年","（旧：諸富町）","","10,167","4,818","5,349"
"2020年","（旧：川副町）","","15,223","7,258","7,965"
"2020年","（旧：東与賀町）","","8,007","3,800","4,207"
"2020年","（旧：久保田町）","","7,553","3,521","4,032"
"2020年","（旧：大和町）","","22,881","10,770","12,111"
"2020年","（旧：富士町）","","3,529","1,665","1,864"
"2020年","（旧：三瀬村）","","1,182","563","619"
"2020年","唐津市","","117,373","55,015","62,358"
"2020年","（旧：唐津市）","","74,749","35,061","39,688"
"2020年","（旧：浜玉町）","","11,140","5,199","5,941"
"2020年","（旧：七山村）","","1,851","887","964"
"2020年","（旧：厳木町）","","3,745","1,675","2,070"
"2020年","（旧：相知町）","","6,948","3,157","3,791"
"2020年","（旧：北波多村）","","4,130","1,941","2,189"
"2020年","（旧：肥前町）","","5,943","2,883","3,060"
"2020年","（旧：鎮西町）","","4,974","2,408","2,566"
"2020年","（旧：呼子町）","","3,893","1,804","2,089"
"2020年","鳥栖市","","74,196","35,528","38,668"
"2020年","多久市","","18,295","8,555","9,740"
"2020年","伊万里市","","52,629","25,445","27,184"
"2020年","武雄市","","47,914","22,727","25,187"
"2020年","（旧：武雄市）","","32,823","15,613","17,210"
"2020年","（旧：山内町）","","8,214","3,869","4,345"
"2020年","（旧：北方町）","","6,877","3,245","3,632"
"2020年","鹿島市","","27,892","13,140","14,752"
"2020年","小城市","","43,952","20,772","23,180"
"2020年","（旧：小城町）","","15,239","7,090","8,149"
"2020年","（旧：三日月町）","","13,985","6,665","7,320"
"2020年","（旧：牛津町）","","9,599","4,592","5,007"
"2020年","（旧：芦刈町）","","5,129","2,425","2,704"
"2020年","嬉野市","","25,848","11,995","13,853"
"2020年","（旧：塩田町）","","9,769","4,623","5,146"
"2020年","（旧：嬉野町）","","16,079","7,372","8,707"
"2020年","神埼市","","31,022","14,884","16,138"
"2020年","（旧：神埼町）","","19,124","9,185","9,939"
"2020年","（旧：千代田町）","","10,534","5,005","5,529"
"2020年","（旧：脊振村）","","1,364","694","670"
"2020年","吉野ヶ里町","","16,323","7,990","8,333"
"2020年","（旧：三田川町）","","10,531","5,124","5,407"
"2020年","（旧：東脊振村）","","5,792","2,866","2,926"
"2020年","基山町","","17,250","8,174","9,076"
"2020年","上峰町","","9,286","4,455","4,831"
"2020年","みやき町","","25,511","12,170","13,341"
"2020年","（旧：中原町）","","8,101","3,924","4,177"
"2020年","（旧：北茂安町）","","10,798","5,119","5,679"
"2020年","（旧：三根町）","","6,612","3,127","3,485"
"2020年","玄海町","","5,609","3,067","2,542"
"2020年","有田町","","19,010","8,780","10,230"
"2020年","（旧：有田町）","","10,802","4,939","5,863"
"2020年","（旧：西有田町）","","8,208","3,841","4,367"
"2020年","大町町","","6,293","2,903","3,390"
"2020年","江北町","","9,566","4,460","5,106"
"2020年","白石町","","22,051","10,358","11,693"
"2020年","（旧：白石町）","","10,559","4,934","5,625"
"2020年","（旧：福富町）","","4,386","2,097","2,289"
"2020年","（旧：有明町）","","7,106","3,327","3,779"
"2020年","太良町","","8,121","3,842","4,279"
"2020年","長崎県","","1,312,317","616,912","695,405"
"2020年","長崎市","","409,118","188,519","220,599"
"2020年","（旧：長崎市）","","375,586","173,030","202,556"
"2020年","（旧：香焼町）","","3,201","1,477","1,724"
"2020年","（旧：伊王島町）","","617","275","342"
"2020年","（旧：高島町）","","324","153","171"
"2020年","（旧：野母崎町）","","4,578","2,103","2,475"
"2020年","（旧：三和町）","","9,906","4,576","5,330"
"2020年","（旧：琴海町）","","11,488","5,444","6,044"
"2020年","（旧：外海町）","","3,418","1,461","1,957"
"2020年","佐世保市","","243,223","115,131","128,092"
"2020年","（旧：佐世保市）","","218,147","103,423","114,724"
"2020年","（旧：宇久町）","","1,888","869","1,019"
"2020年","（旧：江迎町）","","5,004","2,285","2,719"
"2020年","（旧：鹿町町）","","4,290","2,081","2,209"
"2020年","（旧：小佐々町）","","5,793","2,765","3,028"
"2020年","（旧：吉井町）","","5,057","2,310","2,747"
"2020年","（旧：世知原町）","","3,044","1,398","1,646"
"2020年","島原市","","43,338","20,157","23,181"
"2020年","（旧：島原市）","","33,578","15,471","18,107"
"2020年","（旧：有明町）","","9,760","4,686","5,074"
"2020年","諫早市","","133,852","63,544","70,308"
"2020年","（旧：諫早市）","","91,942","43,883","48,059"
"2020年","（旧：多良見町）","","15,835","7,493","8,342"
"2020年","（旧：森山町）","","5,094","2,344","2,750"
"2020年","（旧：飯盛町）","","6,766","3,227","3,539"
"2020年","（旧：高来町）","","9,336","4,455","4,881"
"2020年","（旧：小長井町）","","4,879","2,142","2,737"
"2020年","大村市","","95,397","45,448","49,949"
"2020年","平戸市","","29,365","13,771","15,594"
"2020年","（旧：平戸市）","","16,881","7,839","9,042"
"2020年","（旧：大島村）","","933","454","479"
"2020年","（旧：生月町）","","4,852","2,299","2,553"
"2020年","（旧：田平町）","","6,699","3,179","3,520"
"2020年","松浦市","","21,271","10,278","10,993"
"2020年","（旧：松浦市）","","17,191","8,315","8,876"
"2020年","（旧：福島町）","","2,379","1,146","1,233"
"2020年","（旧：鷹島町）","","1,701","817","884"
"2020年","対馬市","","28,502","14,060","14,442"
"2020年","（旧：厳原町）","","10,349","5,173","5,176"
"2020年","（旧：美津島町）","","7,024","3,396","3,628"
"2020年","（旧：豊玉町）","","3,043","1,486","1,557"
"2020年","（旧：峰町）","","1,828","874","954"
"2020年","（旧：上県町）","","2,779","1,386","1,393"
"2020年","（旧：上対馬町）","","3,479","1,745","1,734"
"2020年","壱岐市","","24,948","11,837","13,111"
"2020年","（旧：郷ノ浦町）","","9,367","4,437","4,930"
"2020年","（旧：勝本町）","","5,021","2,348","2,673"
"2020年","（旧：芦辺町）","","6,643","3,167","3,476"
"2020年","（旧：石田町）","","3,917","1,885","2,032"
"2020年","五島市","","34,391","16,141","18,250"
"2020年","（旧：福江市）","","21,885","10,177","11,708"
"2020年","（旧：富江町）","","4,165","1,976","2,189"
"2020年","（旧：玉之浦町）","","1,175","574","601"
"2020年","（旧：三井楽町）","","2,269","1,116","1,153"
"2020年","（旧：岐宿町）","","2,947","1,367","1,580"
"2020年","（旧：奈留町）","","1,950","931","1,019"
"2020年","西海市","","26,275","13,120","13,155"
"2020年","（旧：西彼町）","","8,163","3,873","4,290"
"2020年","（旧：西海町）","","6,611","3,153","3,458"
"2020年","（旧：大島町）","","4,956","2,779","2,177"
"2020年","（旧：崎戸町）","","1,220","618","602"
"2020年","（旧：大瀬戸町）","","5,325","2,697","2,628"
"2020年","雲仙市","","41,096","19,378","21,718"
"2020年","（旧：国見町）","","9,294","4,404","4,890"
"2020年","（旧：瑞穂町）","","4,709","2,220","2,489"
"2020年","（旧：吾妻町）","","6,107","2,896","3,211"
"2020年","（旧：愛野町）","","5,901","2,815","3,086"
"2020年","（旧：千々石町）","","4,235","1,973","2,262"
"2020年","（旧：小浜町）","","7,398","3,387","4,011"
"2020年","（旧：南串山町）","","3,452","1,683","1,769"
"2020年","南島原市","","42,330","19,598","22,732"
"2020年","（旧：加津佐町）","","5,776","2,673","3,103"
"2020年","（旧：口之津町）","","4,840","2,248","2,592"
"2020年","（旧：南有馬町）","","4,535","2,044","2,491"
"2020年","（旧：北有馬町）","","2,971","1,391","1,580"
"2020年","（旧：西有家町）","","6,338","2,962","3,376"
"2020年","（旧：有家町）","","6,964","3,213","3,751"
"2020年","（旧：布津町）","","3,903","1,811","2,092"
"2020年","（旧：深江町）","","7,003","3,256","3,747"
"2020年","長与町","","40,780","19,196","21,584"
"2020年","時津町","","29,339","14,116","15,223"
"2020年","東彼杵町","","7,721","3,686","4,035"
"2020年","川棚町","","13,377","6,300","7,077"
"2020年","波佐見町","","14,291","6,753","7,538"
"2020年","小値賀町","","2,288","1,054","1,234"
"2020年","佐々町","","13,912","6,591","7,321"
"2020年","新上五島町","","17,503","8,234","9,269"
"2020年","（旧：若松町）","","2,453","1,224","1,229"
"2020年","（旧：上五島町）","","5,069","2,343","2,726"
"2020年","（旧：新魚目町）","","3,195","1,505","1,690"
"2020年","（旧：有川町）","","5,037","2,321","2,716"
"2020年","（旧：奈良尾町）","","1,749","841","908"
"2020年","熊本県","","1,738,301","822,481","915,820"
"2020年","熊本市","","738,865","349,115","389,750"
"2020年","（旧：熊本市）","","679,143","320,705","358,438"
"2020年","（旧：城南町）","","21,693","10,326","11,367"
"2020年","（旧：富合町）","","10,106","4,792","5,314"
"2020年","（旧：植木町）","","27,923","13,292","14,631"
"2020年","熊本市中央区","","187,502","88,508","98,994"
"2020年","熊本市東区","","189,524","89,763","99,761"
"2020年","熊本市西区","","91,177","42,796","48,381"
"2020年","熊本市南区","","130,829","61,632","69,197"
